"iso3","n_papers","countryName","pm25Avg","n_surveys","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un"
"IRQ",0,"Iraq",36.3,2,37758248.721,"very high",0,0,"Iraq","Middle East & North Africa","Upper middle income","IBRD","Asia","Asia"
"ISL",1,"Iceland",4.7,11,331059.99998,"very low",0,0,"Iceland","Europe & Central Asia","High income","","Europe","Europe"
"ISR",0,"Israel",21.6,0,8006085.191,"medium",0,0,"Israel","Middle East & North Africa","High income","","Asia","Asia"
"ITA",11,"Italy",14.4,115,60254972.26,"low",0,0,"Italy","Europe & Central Asia","High income","","Europe","Europe"
"JAM",0,"Jamaica",15.4,0,2794445.0005,"medium",0,0,"Jamaica","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas"
"JEY",0,"Jersey",8.3,0,100561.000116,"very low",0,0,NA,NA,NA,NA,"Europe","Europe"
"JOR",2,"Jordan",31.4,3,9493248.3607,"high",0,0,"Jordan","Middle East & North Africa","Lower middle income","IBRD","Asia","Asia"
"JPN",3,"Japan",13.6,18,127250931.89,"low",0,0,"Japan","East Asia & Pacific","High income","","Asia","Asia"
"KAZ",0,"Kazakhstan",18.3,3,17837537.223,"medium",0,0,"Kazakhstan","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia"
"KEN",0,"Kenya",20.7,4,46966103.845,"medium",0,0,"Kenya","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa"
"KGZ",0,"Kyrgyzstan",20.5,3,5784506.115,"medium",0,0,"Kyrgyz Republic","Europe & Central Asia","Lower middle income","IDA","Asia","Asia"
"KHM",1,"Cambodia",22.7,0,15409796.658,"medium",0,0,"Cambodia","East Asia & Pacific","Lower middle income","IDA","Asia","Asia"
"KIR",0,"Kiribati",3.6,0,116706.99998,"very low",0,0,"Kiribati","East Asia & Pacific","Lower middle income","IDA","Oceania","Oceania"
"KNA",0,"Saint Kitts and Nevis",7.8,0,47790.00006,"very low",0,0,"St. Kitts and Nevis","Latin America & Caribbean","High income","IBRD","North America","Americas"
"KOR",20,"South Korea",24.3,18,50994550.335,"medium",0,0,"Korea, Rep.","East Asia & Pacific","High income","","Asia","Asia"
"KWT",0,"Kuwait",56.6,1,3908967.1646,"very high",0,0,"Kuwait","Middle East & North Africa","High income","","Asia","Asia"
"LAO",0,"Laos",25.7,0,6811332.9584,"high",0,0,"Lao PDR","East Asia & Pacific","Lower middle income","IDA","Asia","Asia"
"LBN",3,"Lebanon",30.8,3,6385091.402,"high",0,0,"Lebanon","Middle East & North Africa","Lower middle income","IBRD","Asia","Asia"
"LBR",0,"Liberia",18,2,4615232.7046,"medium",0,0,"Liberia","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"LBY",0,"Libya",19.3,2,6191982.845,"medium",0,0,"Libya","Middle East & North Africa","Upper middle income","IBRD","Africa","Africa"
"LCA",0,"Saint Lucia",12.6,0,175622.99988,"low",0,0,"St. Lucia","Latin America & Caribbean","Upper middle income","Blend","North America","Americas"
"LIE",0,"Liechtenstein",8.6,0,37173.459498,"very low",0,0,"Liechtenstein","Europe & Central Asia","High income","","Europe","Europe"
"LKA",0,"Sri Lanka",20.6,0,21336697.003,"medium",0,0,"Sri Lanka","South Asia","Lower middle income","IDA","Asia","Asia"
"LSO",0,"Lesotho",59.1,2,2117932.4656,"very high",0,0,"Lesotho","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"LTU",1,"Lithuania",10.7,95,2965336.0678,"low",0,0,"Lithuania","Europe & Central Asia","High income","","Europe","Europe"
"LUX",1,"Luxembourg",8.7,97,564745.4612,"very low",0,0,"Luxembourg","Europe & Central Asia","High income","","Europe","Europe"
"LVA",2,"Latvia",9.3,84,1992345.4992,"very low",0,0,"Latvia","Europe & Central Asia","High income","","Europe","Europe"
"MAC",NA,NA,NA,1,NA,NA,0,0,"Macao SAR, China","East Asia & Pacific","High income","","Asia","Asia"
"MAR",0,"Morocco",14.3,4,34682354.769,"low",0,0,"Morocco","Middle East & North Africa","Lower middle income","IBRD","Africa","Africa"
"MCO",0,"Monaco",10,0,36661.26966,"low",0,0,"Monaco","Europe & Central Asia","High income","","Europe","Europe"
"MDA",0,"Moldova",13.5,0,3282187.079,"low",0,0,"Moldova","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"MDG",0,"Madagascar",10.2,2,24850912.002,"low",0,0,"Madagascar","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"MDV",0,"Maldives",11.9,1,435582.00007,"low",0,0,"Maldives","South Asia","Upper middle income","IDA","Seven seas (open ocean)","Asia"
"MEX",9,"Mexico",17.4,2,120128231.05,"medium",0,0,"Mexico","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas"
"MHL",0,"Marshall Islands",3.2,0,49410.00001,"very low",0,0,"Marshall Islands","East Asia & Pacific","Upper middle income","IDA","Oceania","Oceania"
"MKD",1,"Macedonia",20.3,4,2107669.836,"medium",0,0,"North Macedonia","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"MLI",0,"Mali",32.5,2,18114840.393,"high",0,0,"Mali","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"MLT",1,"Malta",11.9,59,456578.99994,"low",0,0,"Malta","Middle East & North Africa","High income","","Europe","Europe"
"MMR",1,"Myanmar",32.7,2,51471274.35,"high",0,0,"Myanmar","East Asia & Pacific","Lower middle income","IDA","Asia","Asia"
"MNE",1,"Montenegro",13,33,633373.0467,"low",0,0,"Montenegro","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"MNG",1,"Mongolia",26.3,2,2961148.2406,"high",0,0,"Mongolia","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia"
"MNP",0,"Northern Mariana Islands",3.2,0,51513.99997,"very low",0,0,"Northern Mariana Islands","East Asia & Pacific","High income","","Oceania","Oceania"
"MOZ",0,"Mozambique",11.5,2,26874712.887,"low",0,0,"Mozambique","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"MRT",0,"Mauritania",38.2,3,3936260.9543,"very high",0,0,"Mauritania","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"MSR",0,"Montserrat",8.8,0,5058.999997,"very low",0,0,NA,NA,NA,NA,"North America","Americas"
"MTQ",0,"Martinique",11.7,0,383514.99989,"low",0,0,NA,NA,NA,NA,NA,NA
"MUS",0,"Mauritius",12.5,2,1293152.9999,"low",0,0,"Mauritius","Sub-Saharan Africa","Upper middle income","IBRD","Seven seas (open ocean)","Africa"
"MWI",0,"Malawi",14.5,2,16907389.578,"low",0,0,"Malawi","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"MYS",14,"Malaysia",20.9,4,31081433.179,"medium",0,0,"Malaysia","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia"
"MYT",0,"Mayotte",6.5,0,249545.0001,"very low",0,0,NA,NA,NA,NA,NA,NA
"NAM",0,"Namibia",12.7,2,2282695.4977,"low",0,0,"Namibia","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa"
"NCL",0,"New Caledonia",4.3,0,283035.05878,"very low",0,0,"New Caledonia","East Asia & Pacific","High income","","Oceania","Oceania"
"NER",0,"Niger",42.7,2,20142084.567,"very high",0,0,"Niger","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"NFK",0,"Norfolk Island",3.7,0,2286.833838,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania"
"NGA",1,"Nigeria",41.2,4,183943676.88,"very high",0,0,"Nigeria","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa"
"NIC",0,"Nicaragua",15.7,2,6287809.607,"medium",0,0,"Nicaragua","Latin America & Caribbean","Lower middle income","IDA","North America","Americas"
"NIU",0,"Niue",3.2,0,1847.000004,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania"
"NLD",4,"Netherlands",11,105,17025763.116,"low",0,0,"Netherlands","Europe & Central Asia","High income","","Europe","Europe"
"NOR",3,"Norway",5.5,11,5187607.031,"very low",0,0,"Norway","Europe & Central Asia","High income","","Europe","Europe"
"NPL",2,"Nepal",44.2,0,27586971.354,"very high",0,0,"Nepal","South Asia","Lower middle income","IDA","Asia","Asia"
"NRU",0,"Nauru",4.3,0,11184.999964,"very low",0,0,"Nauru","East Asia & Pacific","High income","IBRD","Oceania","Oceania"
"NZL",1,"New Zealand",7.8,12,4590585.058,"very low",0,0,"New Zealand","East Asia & Pacific","High income","","Oceania","Oceania"
"OMN",2,"Oman",34.7,0,4237809.064,"high",0,0,"Oman","Middle East & North Africa","High income","","Asia","Asia"
"PAK",10,"Pakistan",46.4,2,210923972.87,"very high",0,0,"Pakistan","South Asia","Lower middle income","Blend","Asia","Asia"
"PAN",0,"Panama",16.5,0,3951603.2638,"medium",0,0,"Panama","Latin America & Caribbean","High income","IBRD","North America","Americas"
"PCN",0,"Pitcairn Islands",2.4,0,65.30609376,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania"
"PER",0,"Peru",18.6,2,30713140.732,"medium",0,0,"Peru","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas"
"PHL",3,"Philippines",19.2,14,103031365,"medium",0,0,"Philippines","East Asia & Pacific","Lower middle income","IBRD","Asia","Asia"
"PLW",0,"Palau",4.9,0,17794.000018,"very low",0,0,"Palau","East Asia & Pacific","High income","IBRD","Oceania","Oceania"
"PNG",0,"Papua New Guinea",12.8,0,8676579.2521,"low",0,0,"Papua New Guinea","East Asia & Pacific","Lower middle income","Blend","Oceania","Oceania"
"POL",10,"Poland",17.2,88,38527290.78,"medium",0,0,"Poland","Europe & Central Asia","High income","IBRD","Europe","Europe"
"PRI",0,"Puerto Rico",7.4,1,3497334.9998,"very low",0,0,"Puerto Rico","Latin America & Caribbean","High income","","North America","Americas"
"PRK",0,"North Korea",24.9,0,25183141.62,"medium",0,0,"Korea, Dem. People's Rep.","East Asia & Pacific","Low income","","Asia","Asia"
"PRT",8,"Portugal",8.7,97,10365900.406,"very low",0,0,"Portugal","Europe & Central Asia","High income","","Europe","Europe"
"PRY",0,"Paraguay",15.4,0,6165043.994,"medium",0,0,"Paraguay","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas"
"PSE",0,"Palestina",23.3,2,4476781.9278,"medium",0,0,"West Bank and Gaza","Middle East & North Africa","Lower middle income","","Asia","Asia"
"PYF",0,"French Polynesia",2.6,0,291786.99992,"very low",0,0,"French Polynesia","East Asia & Pacific","High income","","Oceania","Oceania"
"QAT",0,"Qatar",72,0,2415319.3258,"very high",0,0,"Qatar","Middle East & North Africa","High income","","Asia","Asia"
"REU",0,"Reunion",6.7,0,922495.00016,"very low",0,0,NA,NA,NA,NA,NA,NA
"ROU",2,"Romania",16.1,85,19913237.941,"medium",0,0,"Romania","Europe & Central Asia","High income","IBRD","Europe","Europe"
