"iso3","n_papers","countryName","pm25Avg","n_surveys","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un"
"SWE",8,"Sweden",5.8,110,9850041.32,"very low",0,0,"Sweden","Europe & Central Asia","High income","","Europe","Europe"
"SWZ",0,"Swaziland",14.9,2,1136672.32528,"low",0,0,"Eswatini","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa"
"SXM",0,"Sint Maarten",7.9,0,39267.390083,"very low",0,0,"Sint Maarten (Dutch part)","Latin America & Caribbean","High income","","North America","Americas"
"SYC",0,"Seychelles",5.6,2,99240.00012,"very low",0,0,"Seychelles","Sub-Saharan Africa","High income","IBRD","Seven seas (open ocean)","Africa"
"SYR",0,"Syria",26.2,0,19214802.745,"high",0,0,"Syrian Arab Republic","Middle East & North Africa","Low income","IDA","Asia","Asia"
"TCA",0,"Turks and Caicos Islands",5.9,0,36538.00003,"very low",0,0,"Turks and Caicos Islands","Latin America & Caribbean","High income","","North America","Americas"
"TCD",0,"Chad",36.5,0,14125227.669,"very high",0,0,"Chad","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"TGO",0,"Togo",30,2,7430917.711,"high",0,0,"Togo","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"THA",6,"Thailand",25.2,14,70317465.6,"high",0,0,"Thailand","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia"
"TJK",0,"Tajikistan",29.2,3,8535910.108,"high",0,0,"Tajikistan","Europe & Central Asia","Lower middle income","IDA","Asia","Asia"
"TKL",0,"Tokelau",3,0,1453.999996,"very low",0,0,NA,NA,NA,NA,NA,NA
"TKM",0,"Turkmenistan",21.3,2,5773821.721,"medium",0,0,"Turkmenistan","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia"
"TLS",0,"Timor-Leste",12,0,1206734.0018,"low",0,0,"Timor-Leste","East Asia & Pacific","Lower middle income","Blend","Asia","Asia"
"TON",0,"Tonga",4,0,106121.99996,"very low",0,0,"Tonga","East Asia & Pacific","Upper middle income","IDA","Oceania","Oceania"
"TTO",0,"Trinidad and Tobago",12.5,0,1460176.9998,"low",0,0,"Trinidad and Tobago","Latin America & Caribbean","High income","IBRD","North America","Americas"
"TUN",0,"Tunisia",13.4,5,11558257.67,"low",0,0,"Tunisia","Middle East & North Africa","Lower middle income","IBRD","Africa","Africa"
"TUR",7,"Turkey",23,6,79644890.02,"medium",0,0,"Türkiye","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia"
"TUV",0,"Tuvalu",4.5,0,10876.999982,"very low",0,0,"Tuvalu","East Asia & Pacific","Upper middle income","IDA","Oceania","Oceania"
"TWN",9,"Taiwan",17.8,14,23511567.872,"medium",0,0,"Taiwan, China","East Asia & Pacific","High income","","Asia","Asia"
"TZA",0,"Tanzania",18.5,3,52485977.58,"medium",0,0,"Tanzania","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"UGA",0,"Uganda",27.2,3,37515804.307,"high",0,0,"Uganda","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"UKR",0,"Ukraine",13.9,2,44980379.55,"low",0,0,"Ukraine","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"URY",0,"Uruguay",12.4,1,3403403.1367,"low",0,0,"Uruguay","Latin America & Caribbean","High income","IBRD","South America","Americas"
"USA",51,"United States",7.4,18,324648883.7,"very low",0,0,"United States","North America","High income","","North America","Americas"
"UZB",0,"Uzbekistan",30.4,3,31080396.384,"high",0,0,"Uzbekistan","Europe & Central Asia","Lower middle income","Blend","Asia","Asia"
"VAT",0,"Vatican City",15.2,0,0,"medium",0,0,NA,NA,NA,NA,"Europe","Europe"
"VCT",0,"Saint Vincent and the Grenadines",8.1,0,106482.00002,"very low",0,0,"St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income","Blend","North America","Americas"
"VEN",2,"Venezuela",18.5,2,30520815.685,"medium",0,0,"Venezuela, RB","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas"
"VGB",0,"British Virgin Islands",6.5,0,29366.00002,"very low",0,0,"British Virgin Islands","Latin America & Caribbean","High income","","North America","Americas"
"VIR",0,"Virgin Islands; U.S.",6.5,0,102803.00005,"very low",0,0,"Virgin Islands (U.S.)","Latin America & Caribbean","High income","","North America","Americas"
"VNM",7,"Vietnam",26.3,3,92182541.19,"high",0,0,"Vietnam","East Asia & Pacific","Lower middle income","IBRD","Asia","Asia"
"VUT",0,"Vanuatu",4.8,0,276434.9414,"very low",0,0,"Vanuatu","East Asia & Pacific","Lower middle income","IDA","Oceania","Oceania"
"WLF",0,"Wallis and Futuna",4.2,0,12181.99997,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania"
"WSM",0,"Samoa",3.9,0,203570.99992,"very low",0,0,"Samoa","East Asia & Pacific","Lower middle income","IDA","Oceania","Oceania"
"YEM",0,"Yemen",27.9,0,28489088.465,"high",0,0,"Yemen, Rep.","Middle East & North Africa","Low income","IDA","Asia","Asia"
"ZAF",5,"South Africa",27.7,14,55875253.09,"high",0,0,"South Africa","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa"
"ZMB",0,"Zambia",16.3,2,16261845.298,"medium",0,0,"Zambia","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"ZWE",0,"Zimbabwe",11.7,3,14157998.425,"low",0,0,"Zimbabwe","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa"
