"iso3","eurobarometerSource","n_papers","countryName","pm25Avg","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un","n_surveys"
"BHS",0,0,"Bahamas",5.7,392696.9999,"very low",0,0,"Bahamas, The","Latin America & Caribbean","High income","","North America","Americas",0
"BHS",1,0,"Bahamas",5.7,392696.9999,"very low",0,0,"Bahamas, The","Latin America & Caribbean","High income","","North America","Americas",0
"BIH",0,0,"Bosnia and Herzegovina",20.1,3519876.9959,"medium",0,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",0
"BIH",1,0,"Bosnia and Herzegovina",20.1,3519876.9959,"medium",0,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",0
"BLM",0,0,"Saint-Barthélemy",5.6,9642.999994,"very low",0,0,NA,NA,NA,NA,"North America","Americas",0
"BLM",1,0,"Saint-Barthélemy",5.6,9642.999994,"very low",0,0,NA,NA,NA,NA,"North America","Americas",0
"BLR",0,0,"Belarus",12.9,9703914.493,"low",0,0,"Belarus","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",0
"BLR",1,0,"Belarus",12.9,9703914.493,"low",0,0,"Belarus","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",0
"BLZ",0,0,"Belize",10.3,357670.60895,"low",0,0,"Belize","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"BLZ",1,0,"Belize",10.3,357670.60895,"low",0,0,"Belize","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"BMU",0,0,"Bermuda",5.2,63144.000013,"very low",0,0,"Bermuda","North America","High income","","North America","Americas",0
"BMU",1,0,"Bermuda",5.2,63144.000013,"very low",0,0,"Bermuda","North America","High income","","North America","Americas",0
"BOL",0,0,"Bolivia",23,11122028.826,"medium",0,0,"Bolivia","Latin America & Caribbean","Lower middle income","IBRD","South America","Americas",1
"BOL",1,0,"Bolivia",23,11122028.826,"medium",0,0,"Bolivia","Latin America & Caribbean","Lower middle income","IBRD","South America","Americas",0
"BRA",0,2,"Brazil",13.3,205180111.37,"low",0,0,"Brazil","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",3
"BRA",1,2,"Brazil",13.3,205180111.37,"low",0,0,"Brazil","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",0
"BRB",0,0,"Barbados",13.7,278082.99991,"low",0,0,"Barbados","Latin America & Caribbean","High income","IBRD","North America","Americas",0
"BRB",1,0,"Barbados",13.7,278082.99991,"low",0,0,"Barbados","Latin America & Caribbean","High income","IBRD","North America","Americas",0
"BRN",0,1,"Brunei",15,421205.3389,"medium",0,0,"Brunei Darussalam","East Asia & Pacific","High income","","Asia","Asia",0
"BRN",1,1,"Brunei",15,421205.3389,"medium",0,0,"Brunei Darussalam","East Asia & Pacific","High income","","Asia","Asia",0
"BTN",0,0,"Bhutan",35.2,808200.6064,"very high",0,0,"Bhutan","South Asia","Lower middle income","IDA","Asia","Asia",0
"BTN",1,0,"Bhutan",35.2,808200.6064,"very high",0,0,"Bhutan","South Asia","Lower middle income","IDA","Asia","Asia",0
"BWA",0,0,"Botswana",12.7,2305984.1766,"low",0,0,"Botswana","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",2
"BWA",1,0,"Botswana",12.7,2305984.1766,"low",0,0,"Botswana","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",0
"CAF",0,0,"Central African Republic",34.3,4832052.597,"high",0,0,"Central African Republic","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"CAF",1,0,"Central African Republic",34.3,4832052.597,"high",0,0,"Central African Republic","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"CAN",0,7,"Canada",6.4,35718888.85,"very low",0,0,"Canada","North America","High income","","North America","Americas",6
"CAN",1,7,"Canada",6.4,35718888.85,"very low",0,0,"Canada","North America","High income","","North America","Americas",0
"CCK",0,0,"Cocos Islands",5.6,563.5686709,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"CCK",1,0,"Cocos Islands",5.6,563.5686709,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"CHE",0,3,"Switzerland",8.8,8240652.067,"very low",0,0,"Switzerland","Europe & Central Asia","High income","","Europe","Europe",11
"CHE",1,3,"Switzerland",8.8,8240652.067,"very low",0,0,"Switzerland","Europe & Central Asia","High income","","Europe","Europe",0
"CHL",0,6,"Chile",18.3,17870505.86,"medium",0,0,"Chile","Latin America & Caribbean","High income","IBRD","South America","Americas",2
"CHL",1,6,"Chile",18.3,17870505.86,"medium",0,0,"Chile","Latin America & Caribbean","High income","IBRD","South America","Americas",0
"CHN",0,142,"China",37.7,1401793873.9,"very high",1,0,"China","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia",24
"CHN",1,142,"China",37.7,1401793873.9,"very high",1,0,"China","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia",0
"CIV",0,0,"Côte d'Ivoire",21.9,23578198.716,"medium",0,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",2
"CIV",1,0,"Côte d'Ivoire",21.9,23578198.716,"medium",0,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
"CMR",0,0,"Cameroon",37,23038492.024,"very high",0,0,"Cameroon","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",2
"CMR",1,0,"Cameroon",37,23038492.024,"very high",0,0,"Cameroon","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",0
"COD",0,0,"Democratic Republic of the Congo",29.8,78664750.16,"high",0,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"COD",1,0,"Democratic Republic of the Congo",29.8,78664750.16,"high",0,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"COG",0,0,"Republic of Congo",34.2,5082311.3174,"high",0,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",2
"COG",1,0,"Republic of Congo",34.2,5082311.3174,"high",0,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",0
"COK",0,0,"Cook Islands",2.5,17694.999999,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania",0
"COK",1,0,"Cook Islands",2.5,17694.999999,"very low",0,0,NA,NA,NA,NA,"Oceania","Oceania",0
"COL",0,5,"Colombia",18.4,47128348.602,"medium",0,0,"Colombia","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",2
"COL",1,5,"Colombia",18.4,47128348.602,"medium",0,0,"Colombia","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",0
"COM",0,0,"Comoros",6.5,730216.0002,"very low",0,0,"Comoros","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
"COM",1,0,"Comoros",6.5,730216.0002,"very low",0,0,"Comoros","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
